trade_id,asset,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl,pnl_pct,fees
1,BTC/USDT,LONG,2026-08-29T08:32:53.999596+00:00,11158.5765,2018-03-09 00:00,9222.3865,0.806554491964096,-1578.08,-17.53,16.4384
2,BTC/USDT,LONG,2026-08-29T08:32:53.999915+00:00,8068.9524599999995,2018-05-13 00:00,8675.370144999999,0.9412029095513639,555.0,7.31,15.7598
3,BTC/USDT,LONG,2026-08-29T08:32:54.000332+00:00,6665.451059999999,2018-07-10 00:00,6293.761545,1.2164529211855764,-467.91,-5.77,15.7643
4,BTC/USDT,LONG,2026-08-29T08:32:54.000378+00:00,7321.098719999999,2018-08-06 00:00,6931.35259,1.0519293880373026,-424.98,-5.52,14.9926
5,BTC/USDT,LONG,2026-08-29T08:32:54.000579+00:00,7079.648055,2018-09-08 00:00,6181.957475,1.0356859510683052,-943.46,-12.87,13.7349
6,BTC/USDT,LONG,2026-08-29T08:32:54.000734+00:00,6637.89729,2018-10-03 00:00,6506.745000000001,0.9785537159419394,-141.2,-2.17,12.8627
7,BTC/USDT,LONG,2026-08-29T08:32:54.000768+00:00,6597.0868949999995,2018-10-11 00:00,6249.5536600000005,0.9670985930692392,-348.52,-5.46,12.424
8,BTC/USDT,LONG,2026-08-29T08:32:54.000831+00:00,6762.649635,2018-10-25 00:00,6524.825955,0.8986927861387048,-225.67,-3.71,11.9414
9,BTC/USDT,LONG,2026-08-29T08:32:54.001242+00:00,3989.5937999999996,2019-01-11 00:00,3599.509345,1.47513440068209,-586.62,-9.97,11.1949
10,BTC/USDT,LONG,2026-08-29T08:32:54.001862+00:00,3681.90003,2019-07-16 00:00,9434.870205000001,1.4577535284846772,8367.29,155.89,19.121
11,BTC/USDT,LONG,2026-08-29T08:32:54.002708+00:00,10934.694614999999,2019-08-16 00:00,10326.374230000001,1.1811097181653085,-743.6,-5.76,25.1117
12,BTC/USDT,LONG,2026-08-29T08:32:54.002874+00:00,10386.37059,2019-09-10 00:00,10093.100925,1.1812047492436877,-370.6,-3.02,24.1904
13,BTC/USDT,LONG,2026-08-29T08:32:54.002909+00:00,10340.18751,2019-09-16 00:00,10246.184345,1.1563291176057762,-132.5,-1.11,23.8046
14,BTC/USDT,LONG,2026-08-29T08:32:54.003110+00:00,9534.694965,2019-11-15 00:00,8467.494135,1.2437556949325674,-1349.73,-11.38,22.3903
15,BTC/USDT,LONG,2026-08-29T08:32:54.003436+00:00,7761.879,2020-02-26 00:00,8780.857375,1.373923474355796,1377.27,12.91,22.7285
16,BTC/USDT,LONG,2026-08-29T08:32:54.003870+00:00,7333.564949999999,2020-06-19 00:00,9305.574885,1.625979496036968,3179.39,26.66,27.0549
17,BTC/USDT,LONG,2026-08-29T08:32:54.004234+00:00,9629.702444999999,2020-06-24 00:00,9291.841755,1.5379529403327736,-548.71,-3.71,29.1004
18,BTC/USDT,LONG,2026-08-29T08:32:54.004370+00:00,9522.91908,2020-09-03 00:00,10135.779575,1.5060903712278448,893.42,6.23,29.6078
19,BTC/USDT,LONG,2026-08-29T08:32:54.004732+00:00,10931.032785,2021-01-26 00:00,32451.536115000003,1.3880753989297283,29811.86,196.48,60.2183
20,BTC/USDT,LONG,2026-08-29T08:32:54.005266+00:00,35483.973119999995,2021-04-21 00:00,53760.736185,1.185266674393628,21557.06,51.26,105.7788
21,BTC/USDT,LONG,2026-08-29T08:32:54.005704+00:00,57343.407374999995,2021-05-12 00:00,49606.50434,1.0734368254529425,-8419.88,-13.68,114.804
22,BTC/USDT,LONG,2026-08-29T08:32:54.006069+00:00,37256.218799999995,2021-09-11 00:00,45151.103155000004,1.451568568837694,11340.35,20.97,119.6199
23,BTC/USDT,LONG,2026-08-29T08:32:54.006316+00:00,48316.88636999999,2021-09-20 00:00,42994.11219000001,1.332741623634425,-7215.58,-11.21,121.694
24,BTC/USDT,LONG,2026-08-29T08:32:54.006389+00:00,48224.110005,2021-11-18 00:00,56863.174190000005,1.2029134628113598,10265.64,17.7,126.4109
25,BTC/USDT,LONG,2026-08-29T08:32:54.006971+00:00,43861.909994999995,2022-02-20 00:00,38367.696555,1.5357806606596605,-8564.19,-12.71,126.2866
26,BTC/USDT,LONG,2026-08-29T08:32:54.007076+00:00,44443.410599999996,2022-03-06 00:00,38401.599595,1.3448148157624995,-8236.53,-13.78,111.4112
27,BTC/USDT,LONG,2026-08-29T08:32:54.007156+00:00,41778.388755,2022-04-10 00:00,42137.770575,1.2555666540254848,345.87,0.66,105.3623
28,BTC/USDT,LONG,2026-08-29T08:32:54.007723+00:00,23408.31831,2022-08-19 00:00,20823.972805,2.2582423959707674,-5935.97,-11.23,99.8872
29,BTC/USDT,LONG,2026-08-29T08:32:54.007980+00:00,22406.93787,2022-09-13 00:00,20163.483215,2.1247520020599793,-4857.24,-10.2,90.4516
30,BTC/USDT,LONG,2026-08-29T08:32:54.008093+00:00,19970.650335,2022-10-07 00:00,19520.324955,2.169137162780745,-1062.48,-2.45,85.6613
31,BTC/USDT,LONG,2026-08-29T08:32:54.008181+00:00,20090.110034999998,2022-11-09 00:00,15914.848595,2.112479422323732,-8896.21,-20.96,76.0597
32,BTC/USDT,LONG,2026-08-29T08:32:54.008404+00:00,17218.434915,2022-12-18 00:00,16729.840895,2.003771290720556,-1047.06,-3.03,68.0246
33,BTC/USDT,LONG,2026-08-29T08:32:54.008531+00:00,17136.393915,2023-03-04 00:00,22335.396715000003,1.9619459098278476,10122.72,30.11,77.4415
34,BTC/USDT,LONG,2026-08-29T08:32:54.008832+00:00,24297.802829999997,2023-04-23 00:00,27576.8047,1.7615100550847729,5684.62,13.28,91.3776
35,BTC/USDT,LONG,2026-08-29T08:32:54.009030+00:00,29487.506385,2023-05-08 00:00,27654.955605000003,1.6277815649447753,-3076.01,-6.41,93.0154
36,BTC/USDT,LONG,2026-08-29T08:32:54.009282+00:00,28322.143995,2023-07-24 00:00,29161.911750000003,1.599968072997438,1251.63,2.76,91.9727
37,BTC/USDT,LONG,2026-08-29T08:32:54.009703+00:00,27223.86513,2023-09-26 00:00,26208.559165,1.7089332233220471,-1826.4,-3.93,91.3124
38,BTC/USDT,LONG,2026-08-29T08:32:54.009748+00:00,27034.900694999997,2024-01-16 00:00,43116.381025,1.6631163920024374,26628.7,59.22,116.6697
39,BTC/USDT,LONG,2026-08-29T08:32:54.010321+00:00,43104.48147,2024-04-14 00:00,65629.00908,1.6015277376691663,35899.52,52.0,174.1397
40,BTC/USDT,LONG,2026-08-29T08:32:54.010806+00:00,65267.827605,2024-06-14 00:00,66010.968005,1.5551201347944814,951.52,0.94,204.1543
41,BTC/USDT,LONG,2026-08-29T08:32:54.011092+00:00,65076.51199499999,2024-08-03 00:00,60667.641005,1.5756747720256776,-7145.08,-6.97,198.1319
42,BTC/USDT,LONG,2026-08-29T08:32:54.011273+00:00,64069.25861999999,2024-08-29 00:00,59329.330495,1.5028606255643124,-7308.9,-7.59,185.4509
43,BTC/USDT,LONG,2026-08-29T08:32:54.011391+00:00,60344.146994999996,2024-10-10 00:00,60296.226805000006,1.4893915044350736,-251.05,-0.28,179.6807
44,BTC/USDT,LONG,2026-08-29T08:32:54.011508+00:00,63237.82311,2024-12-26 00:00,95743.70420000001,1.420223226043384,45939.82,51.15,225.7893
45,BTC/USDT,LONG,2026-08-29T08:32:54.011904+00:00,102286.7178,2025-01-09 00:00,92506.213755,1.2842417329140778,-12810.69,-9.75,250.1612
46,BTC/USDT,LONG,2026-08-29T08:32:54.011955+00:00,100037.29364999999,2025-02-04 00:00,97714.24843500002,1.2001163668464927,-3025.25,-2.52,237.3249
47,BTC/USDT,LONG,2026-08-29T08:32:54.012371+00:00,84990.383955,2025-06-19 00:00,104606.26070500001,1.3830654223368417,26867.82,22.86,262.2246
48,BTC/USDT,LONG,2026-08-29T08:32:54.012698+00:00,107000.53352999999,2025-08-03 00:00,114151.6956,1.3267625251145232,9194.48,6.48,293.4165
49,BTC/USDT,LONG,2026-08-29T08:32:54.012896+00:00,116733.07737,2025-08-19 00:00,112816.50353,1.2892952529536381,-5345.58,-3.55,295.9572
50,BTC/USDT,LONG,2026-08-29T08:32:54.013059+00:00,116087.43470999999,2025-09-25 00:00,108939.99275500001,1.2573173386650662,-9269.53,-6.35,282.9309
51,BTC/USDT,LONG,2026-08-29T08:32:54.013150+00:00,118654.287495,2025-10-14 00:00,112971.62593000001,1.1619538151154492,-6872.13,-4.98,269.1386
52,BTC/USDT,LONG,2026-08-29T08:32:54.013587+00:00,90673.32400499999,2026-01-22 00:00,89514.890165,1.4549826227880447,-1947.67,-1.48,262.1707
53,BTC/USDT,LONG,2026-08-29T08:32:54.013905+00:00,70576.61067,2026-03-27 00:00,66374.07636,1.8477957292581395,-8018.48,-6.15,253.0569
54,BTC/USDT,LONG,2026-08-29T08:32:54.014168+00:00,71105.46496499999,2026-05-19 00:00,76795.94282000001,1.7357635926749269,9620.6,7.79,256.7219
55,BTC/USDT,LONG,2026-08-29T08:32:54.014748+00:00,64193.800859999996,2026-08-01 00:00,62792.228180000006,2.0611315642782504,-3150.56,-2.38,261.7349
56,BTC/USDT,LONG,2026-08-29T08:32:54.014883+00:00,64955.651594999996,2026-08-12 00:00,63448.250005,1.9969305653487235,-3266.59,-2.52,256.4137
57,BTC/USDT,LONG,2026-08-29T08:32:54.014943+00:00,69369.45739499999,END,77517.78,1.830816791035741,14649.16,11.75,268.9236
