metric,value
initial_capital,10000.0
final_value,285913.80379579845
net_pnl,262685.15183666605
return_pct,2759.1380379579846
total_trades,52
winning_trades,21
losing_trades,31
win_rate,40.38461538461539
profit_factor,1.6697869348367556
sharpe_ratio,3.96
sortino_ratio,9.75
max_drawdown_pct,-43.25
max_consecutive_wins,4
max_consecutive_losses,8
avg_trade_pnl,5051.637535320501
best_trade,118901.71229130804
worst_trade,-40421.15700314863
total_fees,13228.651959132234
total_slippage,3245.6669400921055
total_charges,16474.318899224338
avg_holding_time,""
expectancy,5051.64
